event_type,direction,relative_start,relative_end
segment,fast,0,934
segment,slow,1123,4925
trial,right,16,70
trial,left,82,147
trial,up,159,225
trial,down,249,304
trial,left,390,454
trial,up,474,525
trial,down,537,605
trial,right,607,676
trial,left,697,755
trial,up,768,829
trial,down,839,907
trial,right,1117,1227
trial,left,1236,1319
trial,right,1328,1425
trial,up,1447,1554
trial,down,1554,1648
trial,up,1643,1758
trial,right,1776,1885
trial,left,1885,1978
trial,right,1978,2087
trial,up,2118,2218
trial,down,2218,2311
trial,up,2311,2404
trial,right,2442,2546
trial,left,2546,2638
trial,right,2638,2745
trial,up,2771,2873
trial,down,2876,2965
trial,up,2965,3074
trial,right,3288,3412
trial,left,3412,3507
trial,down,3605,3688
trial,up,3688,3781
trial,right,3894,3988
trial,left,3988,4103
trial,down,4175,4259
trial,up,4259,4365
trial,right,4466,4561
trial,left,4561,4670
trial,down,4753,4831
trial,up,4831,4943
