segment_name,direction_simple,start_frame,end_frame
fast,right,172,192
fast,left,214,234
fast,up,257,277
fast,down,300,320
fast,right,343,363
fast,left,386,406
fast,up,427,447
fast,down,470,490
fast,right,513,533
fast,left,555,575
fast,up,597,617
fast,down,640,660
slow,right,880,990
slow,left,991,1080
slow,left,1081,1201
slow,up,1202,1319
slow,down,1320,1407
slow,up,1408,1530
slow,right,1725,1837
slow,left,1838,1927
slow,right,1928,2048
slow,up,2050,2166
slow,down,2167,2254
slow,up,2255,2375
slow,right,2760,2873
slow,left,2874,2962
slow,right,2963,3083
slow,up,3085,3201
slow,down,3202,3290
slow,up,3291,3409
