event_type,direction,relative_start,relative_end
segment,fast,0,543
segment,slow,726,3265
trial,right,28,48
trial,left,70,90
trial,up,113,133
trial,down,156,176
trial,right,199,219
trial,left,242,262
trial,up,283,303
trial,down,326,346
trial,right,369,389
trial,left,411,431
trial,up,453,473
trial,down,496,516
trial,right,736,846
trial,left,847,936
trial,right,937,1057
trial,up,1058,1175
trial,down,1176,1263
trial,up,1264,1386
trial,right,1581,1693
trial,left,1694,1783
trial,right,1784,1904
trial,up,1906,2022
trial,down,2023,2110
trial,up,2111,2231
trial,right,2616,2729
trial,left,2730,2818
trial,right,2819,2939
trial,up,2941,3057
trial,down,3058,3146
trial,up,3147,3265
